Time_ISO,X_deg,Y_deg,Z_deg,Temp_C,RSSI_dBm,SNR_dB,Freq_MHz,FCNT
2025-11-05T09:49:25.000Z,0.006,0.007,-0.007,18.899,-105,-15.5,867.3,1
2025-11-05T09:50:05.000Z,0.001,-0.001,-0.001,18.889,-104,-18.8,868.3,1
2025-11-05T09:50:44.000Z,-0.001,-0.001,0.0,18.893,-104,-19.2,867.9,2
2025-11-05T09:51:29.000Z,0.01,-0.001,-0.001,18.979,-105,-19.2,867.9,1
2025-11-05T09:52:08.000Z,-4.819,0.069,-3.434,18.975,-103,-9.5,867.3,2
2025-11-05T09:52:32.000Z,-0.055,0.024,0.025,19.185,-105,-5.5,867.1,1
2025-11-05T09:53:19.000Z,-0.104,0.048,0.055,19.25,-104,-4.0,868.3,2
2025-11-05T09:54:19.000Z,-0.101,0.049,0.054,19.344,-103,-5.2,868.5,3
2025-11-05T09:55:19.000Z,-0.112,0.062,0.058,19.459,-103,-5.0,867.7,4
2025-11-05T09:56:18.000Z,-0.13,0.077,0.066,19.58,-103,-5.0,868.1,5
2025-11-05T09:57:18.000Z,-0.153,0.094,0.075,19.691,-104,-5.5,867.5,6
2025-11-05T09:58:18.000Z,-0.182,0.113,0.088,19.798,-103,-4.5,867.7,7
2025-11-05T09:59:18.000Z,-0.213,0.133,0.1,19.895,-103,-5.0,868.5,8
2025-11-05T10:00:18.000Z,-0.241,0.153,0.113,19.981,-104,-4.8,867.3,9
2025-11-05T10:01:18.000Z,-0.261,0.165,0.125,20.052,-103,-5.2,868.1,10
2025-11-05T10:02:18.000Z,-0.296,0.197,0.135,20.13,-103,-4.5,868.3,11
2025-11-05T10:03:14.000Z,-0.02,-0.001,0.01,20.296,-106,-14.8,867.1,1
2025-11-05T10:05:01.000Z,-0.01,-0.002,0.006,20.225,-105,-18.8,868.5,3
2025-11-05T10:06:01.000Z,-0.006,-0.001,0.004,20.167,-106,-14.0,867.7,4
2025-11-05T10:07:01.000Z,-0.003,0.001,0.0,20.099,-106,-15.2,868.1,5
2025-11-05T10:08:01.000Z,-0.001,0.001,-0.001,20.022,-104,-16.8,867.5,6
2025-11-05T10:09:01.000Z,0.001,-0.001,-0.002,19.934,-106,-17.0,867.7,7
2025-11-05T10:11:01.000Z,0.003,-0.002,-0.002,19.768,-104,-19.2,867.3,9
2025-11-05T10:12:01.000Z,0.001,-0.003,-0.002,19.691,-105,-16.8,868.3,10
2025-11-05T10:13:01.000Z,0.002,-0.003,-0.002,19.622,-106,-17.8,868.3,11
2025-11-05T10:14:01.000Z,0.002,-0.001,-0.003,19.569,-106,-20.0,867.9,12
2025-11-05T10:15:01.000Z,0.001,-0.001,-0.005,19.522,-105,-18.2,867.9,13
2025-11-05T10:16:01.000Z,0.002,-0.002,-0.006,19.484,-105,-16.5,867.5,14
2025-11-05T10:17:01.000Z,0.003,-0.0,-0.006,19.453,-106,-17.8,867.5,15
2025-11-05T10:18:01.000Z,0.003,-0.002,-0.006,19.427,-105,-19.0,868.5,16
2025-11-05T10:19:01.000Z,0.005,-0.003,-0.006,19.405,-106,-17.8,867.1,17
2025-11-05T10:20:01.000Z,0.006,-0.004,-0.005,19.382,-105,-18.5,868.1,18
2025-11-05T10:21:01.000Z,0.007,-0.003,-0.006,19.361,-105,-19.0,868.5,19
2025-11-05T10:22:01.000Z,0.009,-0.002,-0.007,19.344,-105,-18.0,867.9,20
2025-11-05T10:23:01.000Z,0.008,-0.001,-0.008,19.333,-104,-19.0,868.1,21
2025-11-05T10:24:01.000Z,0.01,-0.002,-0.009,19.322,-105,-19.8,867.5,22
2025-11-05T10:25:01.000Z,0.009,-0.001,-0.009,19.313,-106,-17.2,867.7,23
2025-11-05T10:26:01.000Z,0.009,-0.001,-0.009,19.307,-105,-17.5,868.5,24
2025-11-05T10:27:01.000Z,0.01,-0.0,-0.012,19.3,-106,-14.2,867.3,25
2025-11-05T10:28:01.000Z,0.01,-0.001,-0.011,19.294,-105,-22.8,868.1,26
2025-11-05T10:29:01.000Z,0.008,0.0,-0.012,19.292,-104,-17.8,868.3,27
2025-11-05T10:30:00.000Z,0.008,-0.002,-0.01,19.288,-105,-21.0,867.7,28
2025-11-05T10:31:00.000Z,0.008,-0.001,-0.008,19.28,-106,-20.8,867.9,29
2025-11-05T10:32:00.000Z,0.006,-0.0,-0.008,19.275,-105,-19.5,867.5,30
2025-11-05T10:33:00.000Z,0.007,-0.002,-0.008,19.275,-105,-18.0,867.7,31
2025-11-05T10:34:00.000Z,0.009,-0.003,-0.008,19.271,-107,-17.0,867.1,32
2025-11-05T10:35:00.000Z,0.007,-0.002,-0.007,19.27,-106,-17.0,867.3,33
2025-11-05T10:36:00.000Z,0.007,-0.002,-0.006,19.27,-102,-21.5,868.1,34
2025-11-05T10:37:00.000Z,0.008,-0.002,-0.005,19.268,-105,-16.8,868.5,35
2025-11-05T10:38:00.000Z,0.007,-0.001,-0.007,19.262,-105,-17.0,867.7,36
2025-11-05T10:39:00.000Z,0.007,-0.001,-0.006,19.256,-106,-16.5,867.9,37
2025-11-05T10:40:00.000Z,0.007,-0.0,-0.007,19.249,-102,-20.5,867.3,38
2025-11-05T10:41:00.000Z,0.006,-0.002,-0.003,19.245,-106,-18.8,867.5,39
2025-11-05T10:42:00.000Z,0.005,-0.001,-0.004,19.237,-105,-17.8,868.1,40
2025-11-05T10:43:00.000Z,0.005,-0.001,-0.004,19.233,-108,-18.0,867.1,41
2025-11-05T10:44:00.000Z,0.006,-0.001,-0.006,19.228,-105,-18.2,868.3,42
2025-11-05T10:45:00.000Z,0.008,-0.001,-0.007,19.226,-105,-16.0,868.5,43
2025-11-05T10:46:00.000Z,0.01,0.001,-0.009,19.225,-106,-18.5,867.9,44
2025-11-05T10:47:00.000Z,0.01,0.001,-0.01,19.224,-105,-17.0,868.3,45
2025-11-05T10:48:00.000Z,0.007,0.001,-0.01,19.224,-105,-16.8,867.3,46
2025-11-05T10:49:00.000Z,0.007,-0.0,-0.011,19.22,-106,-15.5,868.1,47
2025-11-05T10:50:00.000Z,0.009,-0.0,-0.012,19.217,-105,-18.0,868.1,48
